"","ppt","response","statement","truth","pos_judgment_phase","check_seriousness","check_attention","pos_exposure_phase","repetition","fakeness_judg"
"1","7718","resp_fake_news","Elvis and Priscilla Presley have a biological child.","true",0,1,1,2,"repeated",1
"2","7718","resp_fake_news","Nelson Mandela did boxing as a hobby.","true",1,1,1,NA,"new",1
"3","7718","resp_fake_news","Apart from humans, gorillas have only leopards as natural enemies.","true",2,1,1,9,"repeated",1
"4","7718","resp_real_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",3,1,1,NA,"new",0
"5","7718","resp_real_news","According to his own statement, Andy Warhol was bisexual.","false",4,1,1,NA,"new",0
"6","7718","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",5,1,1,NA,"new",0
"7","7718","resp_real_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",6,1,1,5,"repeated",0
"8","7718","resp_fake_news","Sinti and Roma originally come from India and Pakistan.","true",7,1,1,NA,"new",1
"9","7718","resp_fake_news","Elon Musk was married three times.","true",8,1,1,NA,"new",1
"10","7718","resp_real_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",9,1,1,1,"repeated",0
"11","7718","resp_real_news","Cats can be allergic to people.","true",10,1,1,16,"repeated",0
"12","7718","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",11,1,1,0,"repeated",0
"13","7718","resp_fake_news","Russia produces the most aluminum worldwide.","false",12,1,1,NA,"new",1
"14","7718","resp_real_news","Venezuela has less oil deposits than Norway.","false",13,1,1,NA,"new",0
"15","7718","resp_real_news","The heart rate of an average woman is higher than that of an average man.","true",14,1,1,NA,"new",0
"16","7718","resp_real_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",15,1,1,18,"repeated",0
"17","7718","resp_fake_news","Michael J. Fox is suffering from multiple sclerosis.","false",16,1,1,11,"repeated",1
"18","7718","resp_fake_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",17,1,1,19,"repeated",1
"19","7718","resp_fake_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",18,1,1,NA,"new",1
"20","7718","resp_fake_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",19,1,1,NA,"new",1
"21","7718","resp_fake_news","The left lung is larger than the right lung.","false",20,1,1,NA,"new",1
"22","7718","resp_real_news","The European state with the most inhabitants/km� is the Vatican.","false",21,1,1,4,"repeated",0
"23","7718","resp_real_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",22,1,1,13,"repeated",0
"24","7718","resp_real_news","People from Europe lose more hair per day than people from Africa.","true",23,1,1,NA,"new",0
"25","7718","resp_fake_news","People with blood group AB+ can be blood donors for all groups A and B.","false",24,1,1,NA,"new",1
"26","7718","resp_fake_news","In France, women were allowed to vote for the first time in 1919.","false",25,1,1,NA,"new",1
"27","7718","resp_real_news","The actor Stan Laurel died of a heart attack.","true",26,1,1,NA,"new",0
"28","7718","resp_fake_news","Will Smith's full name is William Carroll Smith Jr.","false",27,1,1,3,"repeated",1
"29","7718","resp_real_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",28,1,1,14,"repeated",0
"30","7718","resp_real_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",29,1,1,NA,"new",0
"31","7718","resp_fake_news","Rapeseed oil damages the groundwater.","false",30,1,1,15,"repeated",1
"32","7718","resp_fake_news","Babies have more bones than adults.","true",31,1,1,12,"repeated",1
"33","7718","resp_real_news","The gas price is not contractually linked to the oil price.","true",32,1,1,10,"repeated",0
"34","7718","resp_real_news","Tsunami means ""beach wave"".","false",33,1,1,NA,"new",0
"35","7718","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",34,1,1,NA,"new",0
"36","7718","resp_fake_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",35,1,1,8,"repeated",1
"37","7718","resp_real_news","Brad Pitt has a ban on entering China.","true",36,1,1,NA,"new",0
"38","7718","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",37,1,1,17,"repeated",1
"39","7718","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",38,1,1,6,"repeated",0
"40","7718","resp_real_news","The first heart transplantation took place in Vienna.","true",39,1,1,7,"repeated",0
"41","7717","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",0,1,1,8,"repeated",0
"42","7717","resp_fake_news","The gas price is not contractually linked to the oil price.","true",1,1,1,NA,"new",1
"43","7717","resp_fake_news","The European state with the most inhabitants/km� is the Vatican.","false",2,1,1,NA,"new",1
"44","7717","resp_fake_news","Cats can be allergic to people.","true",3,1,1,15,"repeated",1
"45","7717","resp_fake_news","Babies have more bones than adults.","true",4,1,1,13,"repeated",1
"46","7717","resp_real_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",5,1,1,7,"repeated",0
"47","7717","resp_fake_news","The heart rate of an average woman is higher than that of an average man.","true",6,1,1,NA,"new",1
"48","7717","resp_real_news","People with blood group AB+ can be blood donors for all groups A and B.","false",7,1,1,NA,"new",0
"49","7717","resp_fake_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",8,1,1,18,"repeated",1
"50","7717","resp_fake_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",9,1,1,9,"repeated",1
"51","7717","resp_fake_news","Apart from humans, gorillas have only leopards as natural enemies.","true",10,1,1,10,"repeated",1
"52","7717","resp_fake_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",11,1,1,NA,"new",1
"53","7717","resp_real_news","The left lung is larger than the right lung.","false",12,1,1,14,"repeated",0
"54","7717","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",13,1,1,NA,"new",1
"55","7717","resp_real_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",14,1,1,12,"repeated",0
"56","7717","resp_real_news","Venezuela has less oil deposits than Norway.","false",15,1,1,NA,"new",0
"57","7717","resp_real_news","Michael J. Fox is suffering from multiple sclerosis.","false",16,1,1,19,"repeated",0
"58","7717","resp_real_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",17,1,1,NA,"new",0
"59","7717","resp_real_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",18,1,1,NA,"new",0
"60","7717","resp_fake_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",19,1,1,NA,"new",1
"61","7717","resp_real_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",20,1,1,NA,"new",0
"62","7717","resp_real_news","Tsunami means ""beach wave"".","false",21,1,1,4,"repeated",0
"63","7717","resp_fake_news","Rapeseed oil damages the groundwater.","false",22,1,1,1,"repeated",1
"64","7717","resp_fake_news","Sinti and Roma originally come from India and Pakistan.","true",23,1,1,NA,"new",1
"65","7717","resp_fake_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",24,1,1,2,"repeated",1
"66","7717","resp_fake_news","Russia produces the most aluminum worldwide.","false",25,1,1,NA,"new",1
"67","7717","resp_real_news","People from Europe lose more hair per day than people from Africa.","true",26,1,1,NA,"new",0
"68","7717","resp_fake_news","Nelson Mandela did boxing as a hobby.","true",27,1,1,5,"repeated",1
"69","7717","resp_fake_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",28,1,1,0,"repeated",1
"70","7717","resp_fake_news","Elon Musk was married three times.","true",29,1,1,NA,"new",1
"71","7717","resp_real_news","In France, women were allowed to vote for the first time in 1919.","false",30,1,1,NA,"new",0
"72","7717","resp_fake_news","According to his own statement, Andy Warhol was bisexual.","false",31,1,1,NA,"new",1
"73","7717","resp_fake_news","Brad Pitt has a ban on entering China.","true",32,1,1,6,"repeated",1
"74","7717","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",33,1,1,17,"repeated",0
"75","7717","resp_real_news","The actor Stan Laurel died of a heart attack.","true",34,1,1,NA,"new",0
"76","7717","resp_real_news","Elvis and Priscilla Presley have a biological child.","true",35,1,1,16,"repeated",0
"77","7717","resp_real_news","Will Smith's full name is William Carroll Smith Jr.","false",36,1,1,NA,"new",0
"78","7717","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",37,1,1,3,"repeated",0
"79","7717","resp_real_news","The first heart transplantation took place in Vienna.","true",38,1,1,11,"repeated",0
"80","7717","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",39,1,1,NA,"new",0
"81","7715","resp_real_news","Apart from humans, gorillas have only leopards as natural enemies.","true",0,1,1,NA,"new",0
"82","7715","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",1,1,1,1,"repeated",0
"83","7715","resp_fake_news","Michael J. Fox is suffering from multiple sclerosis.","false",2,1,1,NA,"new",1
"84","7715","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",3,1,1,NA,"new",0
"85","7715","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",4,1,1,7,"repeated",1
"86","7715","resp_real_news","The actor Stan Laurel died of a heart attack.","true",5,1,1,10,"repeated",0
"87","7715","resp_fake_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",6,1,1,NA,"new",1
"88","7715","resp_real_news","Nelson Mandela did boxing as a hobby.","true",7,1,1,9,"repeated",0
"89","7715","resp_fake_news","People with blood group AB+ can be blood donors for all groups A and B.","false",8,1,1,8,"repeated",1
"90","7715","resp_fake_news","Venezuela has less oil deposits than Norway.","false",9,1,1,NA,"new",1
"91","7715","resp_real_news","The European state with the most inhabitants/km� is the Vatican.","false",10,1,1,18,"repeated",0
"92","7715","resp_real_news","The gas price is not contractually linked to the oil price.","true",11,1,1,NA,"new",0
"93","7715","resp_real_news","Tsunami means ""beach wave"".","false",12,1,1,NA,"new",0
"94","7715","resp_real_news","According to his own statement, Andy Warhol was bisexual.","false",13,1,1,3,"repeated",0
"95","7715","resp_fake_news","Sinti and Roma originally come from India and Pakistan.","true",14,1,1,NA,"new",1
"96","7715","resp_fake_news","Babies have more bones than adults.","true",15,1,1,13,"repeated",1
"97","7715","resp_real_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",16,1,1,5,"repeated",0
"98","7715","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",17,1,1,NA,"new",0
"99","7715","resp_real_news","Russia produces the most aluminum worldwide.","false",18,1,1,NA,"new",0
"100","7715","resp_real_news","The first heart transplantation took place in Vienna.","true",19,1,1,NA,"new",0
"101","7715","resp_real_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",20,1,1,NA,"new",0
"102","7715","resp_real_news","Brad Pitt has a ban on entering China.","true",21,1,1,6,"repeated",0
"103","7715","resp_fake_news","The left lung is larger than the right lung.","false",22,1,1,NA,"new",1
"104","7715","resp_real_news","Elon Musk was married three times.","true",23,1,1,NA,"new",0
"105","7715","resp_real_news","The heart rate of an average woman is higher than that of an average man.","true",24,1,1,NA,"new",0
"106","7715","resp_fake_news","Will Smith's full name is William Carroll Smith Jr.","false",25,1,1,14,"repeated",1
"107","7715","resp_real_news","Cats can be allergic to people.","true",26,1,1,NA,"new",0
"108","7715","resp_real_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",27,1,1,12,"repeated",0
"109","7715","resp_real_news","Elvis and Priscilla Presley have a biological child.","true",28,1,1,0,"repeated",0
"110","7715","resp_fake_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",29,1,1,NA,"new",1
"111","7715","resp_fake_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",30,1,1,NA,"new",1
"112","7715","resp_real_news","In France, women were allowed to vote for the first time in 1919.","false",31,1,1,NA,"new",0
"113","7715","resp_real_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",32,1,1,17,"repeated",0
"114","7715","resp_real_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",33,1,1,NA,"new",0
"115","7715","resp_real_news","People from Europe lose more hair per day than people from Africa.","true",34,1,1,11,"repeated",0
"116","7715","resp_fake_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",35,1,1,19,"repeated",1
"117","7715","resp_real_news","Rapeseed oil damages the groundwater.","false",36,1,1,2,"repeated",0
"118","7715","resp_real_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",37,1,1,15,"repeated",0
